date,temperature,humidity,precipitation,wind_speed
2023-01-01,8.4,68,0.0,8.2
2023-01-02,6.2,72,0.1,10.5
2023-01-03,11.1,65,0.0,6.8
2023-01-04,14.6,59,0.0,5.9
2023-01-05,17.8,55,0.0,7.5
2023-01-06,20.0,52,0.0,6.4
2023-01-07,21.8,49,0.0,4.9
2023-01-08,18.4,56,0.0,8.7
2023-01-09,14.4,63,0.22,12.3
2023-01-10,10.7,69,0.05,10.7
2023-01-11,8.2,71,0.0,9.6
2023-01-12,6.7,74,0.0,8.5
2023-01-13,9.7,67,0.0,6.7
2023-01-14,13.7,62,0.0,5.8
2023-01-15,16.9,58,0.0,6.2
2023-01-16,19.9,54,0.0,7.6
2023-01-17,18.4,57,0.0,8.7
2023-01-18,15.1,61,0.0,10.5
2023-01-19,12.0,67,0.15,12.8
2023-01-20,9.5,70,0.03,11.3
2023-01-21,8.5,68,0.0,9.5
2023-01-22,11.0,64,0.0,8.3
2023-01-23,14.9,60,0.0,7.2
2023-01-24,17.9,56,0.0,6.1
2023-01-25,20.8,52,0.0,5.0
2023-01-26,19.3,55,0.0,5.9
2023-01-27,16.3,59,0.0,8.2
2023-01-28,13.2,64,0.12,11.1
2023-01-29,10.1,68,0.18,13.4
2023-01-30,8.7,71,0.0,12.0
2023-01-31,11.3,66,0.0,10.4
2023-02-01,14.5,62,0.0,8.9
2023-02-02,18.2,58,0.0,7.4
2023-02-03,21.3,54,0.0,6.5
2023-02-04,23.2,51,0.0,5.4
2023-02-05,21.8,53,0.0,7.0
2023-02-06,19.4,57,0.0,9.9
2023-02-07,16.9,62,0.06,12.0
2023-02-08,14.3,66,0.25,14.3
2023-02-09,12.4,69,0.13,13.1
2023-02-10,15.1,65,0.0,10.9
2023-02-11,18.1,61,0.0,9.1
2023-02-12,20.7,57,0.0,7.9
2023-02-13,22.7,54,0.0,6.8
2023-02-14,24.1,51,0.0,5.7
2023-02-15,22.8,53,0.0,6.4
2023-02-16,20.4,56,0.0,8.5
2023-02-17,17.7,60,0.11,10.9
2023-02-18,15.3,64,0.2,13.2
2023-02-19,13.2,67,0.08,11.5
2023-02-20,16.3,63,0.0,9.7
2023-02-21,19.3,59,0.0,8.0
2023-02-22,21.9,55,0.0,6.9
2023-02-23,23.8,52,0.0,5.8
2023-02-24,22.6,54,0.0,4.8
2023-02-25,20.1,57,0.0,6.0
2023-02-26,17.7,61,0.0,8.9
2023-02-27,15.2,65,0.14,11.8
2023-02-28,13.2,68,0.29,13.5
2023-03-01,16.8,64,0.0,10.2
2023-03-02,20.5,61,0.0,8.9
2023-03-03,23.6,57,0.0,7.5
2023-03-04,21.8,60,0.18,11.3
2023-03-05,19.3,65,0.45,14.2
2023-03-06,17.4,68,0.12,12.8
2023-03-07,20.6,62,0.0,9.7
2023-03-08,24.3,58,0.0,8.1
2023-03-09,26.8,54,0.0,6.9
2023-03-10,28.3,51,0.0,5.8
2023-03-11,25.9,55,0.0,7.2
2023-03-12,22.9,59,0.22,10.9
2023-03-13,20.4,63,0.38,13.4
2023-03-14,18.4,66,0.15,11.8
2023-03-15,22.1,60,0.0,9.3
2023-03-16,25.2,56,0.0,8.0
2023-03-17,28.3,52,0.0,6.7
2023-03-18,29.7,49,0.0,5.5
2023-03-19,27.3,53,0.0,7.1
2023-03-20,24.9,57,0.28,12.0
2023-03-21,22.4,61,0.52,15.1
2023-03-22,20.1,65,0.31,13.6
2023-03-23,23.7,59,0.0,10.4
2023-03-24,26.8,55,0.0,8.8
2023-03-25,29.4,51,0.0,7.2
2023-03-26,30.8,48,0.0,6.0
2023-03-27,28.4,52,0.0,7.4
2023-03-28,26.0,56,0.19,11.2
2023-03-29,23.6,60,0.41,14.3
2023-03-30,21.2,64,0.26,12.9
2023-03-31,24.8,58,0.0,9.8
2023-04-01,27.9,54,0.0,8.3
2023-04-02,30.5,50,0.0,7.0
2023-04-03,31.9,47,0.0,5.9
2023-04-04,29.6,51,0.0,7.8
2023-04-05,27.1,55,0.33,13.1
2023-04-06,24.7,59,0.67,16.2
2023-04-07,22.3,63,0.29,14.5
2023-04-08,25.9,57,0.0,11.0
2023-04-09,29.1,53,0.0,9.2
2023-04-10,31.6,49,0.0,7.9
2023-04-11,33.1,46,0.0,6.6
2023-04-12,30.7,50,0.0,8.1
2023-04-13,28.2,54,0.21,12.4
2023-04-14,25.8,58,0.55,15.8
2023-04-15,23.4,62,0.38,13.7
2023-04-16,27.1,56,0.0,10.9
2023-04-17,29.6,52,0.0,9.0
2023-04-18,32.2,48,0.0,7.7
2023-04-19,33.6,45,0.0,6.3
2023-04-20,31.2,49,0.0,8.0
2023-04-21,28.8,53,0.44,14.1
2023-04-22,26.3,57,0.78,17.3
2023-04-23,23.9,61,0.42,15.2
2023-04-24,27.6,55,0.0,11.8
2023-04-25,30.2,51,0.0,9.5
